7zip 25.01-1
aether 2.19.1-1
amd-ucode 20251125-2
android-tools 35.0.2-23
asdcontrol 0.23.0ee8bd5-1
aws-cli-v2 2.32.16-1
base 3-2
base-devel 1-2
bash-completion 2.17.0-1
bat 0.26.1-1
bind 9.20.16-1
bitwarden 2025.10.0-1
bluetui 0.8.0-1
bolt 0.9.10-1
brightnessctl 0.5.1-3
btop 1.4.5-1
btrfs-progs 6.17.1-1
clang 21.1.6-1
cmake 4.2.1-1
copyq 13.0.0-1
cups 2:2.4.16-1
cups-browsed 2.1.1-1
cups-filters 2.0.1-2
cups-pdf 3.0.2-1
docker 1:29.1.3-1
docker-buildx 0.30.1-1
docker-compose 5.0.0-1
doxygen 1.15.0-1
dust 1.2.3-1
efibootmgr 18-3
evince 1:48.1-1
evtest 1.36-1
exfatprogs 1.3.1-1
expac 10-12
eza 0.23.4-1
fastfetch 2.56.0-1
fcitx5 5.1.16-1
fcitx5-gtk 5.1.4-2
fcitx5-qt 5.1.11-3
fd 10.3.0-1
ffmpegthumbnailer 2.2.4-1
fontconfig 2:2.17.1-1
freerdp 2:3.19.1-1
fzf 0.67.0-1
gdb 16.3-1
ghostty 1.2.3-2
git 2.52.0-2
git-delta 0.18.2-6
github-cli 2.83.2-1
gnome-calculator 49.2-1
gnome-disk-utility 46.1-2
gnome-keyring 1:48.0-1
gnome-themes-extra 1:3.28-1
go 2:1.25.5-1
golangci-lint 2.7.2-1
gpu-screen-recorder r1228.4363f8b-1
grim 1.5.0-2
gst-plugin-pipewire 1:1.4.9-2
gum 0.17.0-1
gvfs-mtp 1.58.0-2
gvfs-nfs 1.58.0-2
gvfs-smb 1.58.0-2
hplip 1:3.25.8-1
hypridle 0.1.7-6
hyprland 0.52.2-2
hyprland-guiutils 0.2.0-2
hyprland-preview-share-picker 0.2.1-1
hyprlock 0.9.2-7
hyprpicker 0.4.5-8
hyprsunset 0.3.3-4
imagemagick 7.1.2.11-1
impala 0.6.0-1
imv 5.0.1-1
inetutils 2.6-1
inxi 3.3.40.1-1
iwd 3.10-1
jdk17-openjdk 17.0.17.u10-1
jq 1.8.1-1
jre-openjdk 25.0.1.u8-1
kdenlive 25.12.0-3
kvantum-qt5 1.1.5-1
lazydocker 0.24.2-1
lazygit 0.57.0-1
less 1:685-1
libpulse 17.0+r93+gbe2efb69b-1
libqalculate 5.8.2-1
